"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"5S_rRNA" 1.46009399434518 0.502910075530716 1.97228377403606 0.254988699978789 0.798731826933985 NA
"A1BG" 197.624663187205 -0.252156279998474 0.328197327336076 -0.768306926949056 0.442304860307649 0.605459055998504
"A1CF" 40.6240560678451 0.304617820894777 0.738861773712015 0.412279849537198 0.680134316376933 0.797482983489542
"A2M" 10990.232162607 0.519641207320642 0.380721401560698 1.36488572796398 0.172288968646491 0.321473867288264
"A2ML1" 81.1519012829069 -0.368991839863433 0.3708331110909 -0.995034771242376 0.319719353262587 0.488384600069159
"A2MP1" 50.2197819529279 1.31647910405584 0.868193827247902 1.51634239122497 0.129432797832817 0.263989418574932
"A3GALT2" 0.495841465275867 0.924758699589103 3.4339400961022 0.269299601538996 0.787699138783854 NA
"A4GALT" 779.469636944757 -2.2500336854242 0.557353768625122 -4.03699375887342 5.41405085808429e-05 0.000661930618855553
"A4GNT" 5.74617641620069 1.28867630965963 1.79690394357643 0.717164829130899 0.473272397969707 0.632690468864767
"AAAS" 171.110617707173 -2.12869084586978 0.78407037751542 -2.71492318408358 0.00662911447614654 0.0300668666083925
"AACS" 826.572083108544 -0.402739915469513 0.226113942940233 -1.78113702424785 0.0748900685834792 0.181151653219215
"AACSP1" 25.4490032484527 0.533625033936747 1.00736260415331 0.529724879340004 0.59630269559968 0.73488345679968
"AADAC" 2.47920461335247 3.21875948704252 2.11592989042073 1.52120327881114 0.1282088329126 NA
"AADACL2" 46.6117845591094 0.462441682205381 1.12011067978719 0.412853560411763 0.679713907161447 0.797130666679926
"AADACL3" 8.65255166901759 2.79989983746295 1.42572166067825 1.96384744279677 0.0495477863424115 0.135742417131264
"AADACL4" 0 NA NA NA NA NA
"AADACP1" 37.5551707048649 0.216573944001206 0.802434273520147 0.269896178600562 0.787240127154886 0.870920262107971
"AADAT" 67.8689009436521 -0.758470544471402 0.518714979746566 -1.46221060521903 0.143683506358364 0.283429504677425
"AAGAB" 557.04168743552 0.609210091319133 0.292655254249886 2.08166462919184 0.0373731135903857 0.111022424296588
"AAK1" 2354.48632042862 0.967132841024523 0.28533040786926 3.38951900796942 0.000700153546577781 0.00516858268681371
"AAMDC" 229.166713670189 -0.249100098267818 0.373026818465558 -0.667780668672802 0.504273608027627 0.658720615203279
"AAMP" 386.521868437603 -2.70977560829219 0.612860454572585 -4.42152138888128 9.80083604299217e-06 0.000162849058217684
"AANAT" 10.5480118011982 -0.345828371922413 1.33767348911725 -0.258529734450093 0.795998103925502 0.87669833028705
"AAR2" 470.689687269926 0.929230502599264 0.292308526427825 3.17893738494386 0.001478160185442 0.00935949061210796
"AARD" 31.8220570423869 -1.53251100710442 0.58328226733098 -2.62739173285171 0.00860422176475904 0.0368469883521329
"AARS1" 1072.55684578128 -0.62464069717529 0.286642864622349 -2.17916011270071 0.0293197759098023 0.0931644640423184
"AARS1P1" 0 NA NA NA NA NA
"AARS2" 290.277318550338 -1.2220664470929 0.396365442613466 -3.08318111446627 0.00204800470721677 0.0120921426879465
"AARSD1" 156.568992679972 -2.72264518810464 0.36942203208572 -7.37001302475887 1.70611367227625e-13 2.5012869890736e-11
"AARSD1P1" 67.3859518321295 0.539011013937976 0.763657468000695 0.705828249606648 0.480294951930972 0.637929725989319
"AASDH" 240.643579145885 1.34916666077624 0.574096756611048 2.35006842529561 0.0187699602188296 0.0667595855874498
"AASDHPPT" 366.996618270101 0.820946313505821 0.505632602131311 1.62360241417468 0.104460689891379 0.227402939953512
"AASS" 1122.95151601852 1.16105319896953 0.378189919091148 3.07002683138601 0.00214039541158664 0.0125043492855629
"AATF" 834.027531448855 -0.345414201365381 0.319585775081204 -1.08081844780987 0.279777880711565 0.446478285918022
"AATK" 267.092394070238 -0.757637871152507 0.440911812056587 -1.71834332951659 0.085734010447892 0.198727090713848
"ABAT" 431.165884289061 0.588099954899488 0.360161049260387 1.63288050195097 0.102494131680306 0.224673536892438
"ABCA1" 6231.01180841466 1.02156649880605 0.533307288882505 1.91553072703478 0.0554248543921054 0.147231038066106
"ABCA10" 337.548873744709 0.48369288673382 0.778607381722384 0.621228231440378 0.534449466769041 0.684857928936937
"ABCA11P" 40.5386294164678 0.34111411772196 0.918527444837663 0.371370632025315 0.710361496315887 0.818585165803478
"ABCA12" 16.8278675758031 -0.25751097641038 1.18005627789768 -0.218219233466684 0.82725830003614 0.896175761014863
"ABCA13" 75.4465349778687 0.498695783203598 0.796789745744628 0.625881276543725 0.531392816305744 0.682508296814927
"ABCA17P" 31.2050094267109 -1.12716204473818 1.0105749861239 -1.11536705362306 0.264693161889339 0.430623119689256
"ABCA2" 760.266976418694 -2.71865482498983 0.509119705965342 -5.33991278109141 9.29913083230752e-08 2.96664591464607e-06
"ABCA3" 504.955404045461 -2.69977995027637 0.624461084145863 -4.32337581767666 1.53659646666996e-05 0.000233700968336631
"ABCA4" 15.1133452138087 -1.89357887755404 1.59596655057117 -1.18647779734254 NA NA
"ABCA5" 984.957091741488 1.57840614301151 0.766378797785597 2.05956394875773 0.0394402456736601 0.115409312956723
"ABCA6" 2251.26809950074 1.11160192315103 0.432602855992048 2.5695667695071 0.010182576710606 0.0418786006007079
"ABCA7" 322.500166551538 -2.54812787103626 0.479524879027121 -5.31385957743425 1.07327337029906e-07 3.38607559025206e-06
"ABCA8" 1649.14756608166 0.275211973470869 0.637168348005778 0.431929762883284 0.665792462307764 0.786913805924985
"ABCA9" 887.995329456126 0.799508880376763 0.441010874870601 1.81290060162655 0.0698471534407234 0.172705370533205
